	EN	UK	RU	ES	IT	DE	KO	NL	FR	PT	ZH_TW	ZH	PL	CS
la_app_name	OpenTree	OpenTree	OpenTree	OpenTree	OpenTree	OpenTree	OpenTree	OpenTree	OpenTree	OpenTree	OpenTree	OpenTree	OpenTree	OpenTree
la_ready	Ready	Готово	Готово	Listo	Pronto	Bereit	준비	Klaar	Prêt	Pronto	準備就緒	准备就绪	Gotowe	Připraveno
la_working	Working...	Працюю...	Работаю...	Trabajando...	Lavorando...	Arbeite...	작업 중...	Werken...	En cours...	Trabalhando...	處理中...	处理中...	Pracuję...	Pracuji...
la_file	File	Файл	Файл	Archivo	File	Datei	파일	Bestand	Fichier	Arquivo	檔案	文件	Plik	Soubor
la_message	Message	Повідомлення	Сообщение	Mensaje	Messaggio	Nachricht	메시지	Bericht	Message	Mensagem	訊息	消息	Wiadomość	Zpráva
la_author	Author	Автор	Автор	Autor	Autore	Autor	작성자	Auteur	Auteur	Autor	作者	作者	Autor	Autor
la_date	Date	Дата	Дата	Fecha	Data	Datum	날짜	Datum	Date	Data	日期	日期	Data	Datum
la_hash	Hash	Хеш	Хеш	Hash	Hash	Hash	해시	Hash	Hash	Hash	雜湊	哈希	Hash	Hash
la_local_branches	Local Branches	Локальні гілки	Локальные ветки	Ramas locales	Rami locali	Lokale Branches	로컬 브랜치	Lokale branches	Branches locales	Branches locais	本機分支	本地分支	Lokalne gałęzie	Lokální větve
la_remote_branches	Remote Branches	Віддалені гілки	Удалённые ветки	Ramas remotas	Rami remoti	Remote Branches	원격 브랜치	Externe branches	Branches distantes	Branches remotas	遠端分支	远程分支	Zdalne gałęzie	Vzdálené větve
la_commit	Commit	Коміт	Коммит	Commit	Commit	Commit	커밋	Commit	Commit	Commit	提交	提交	Commit	Commit
la_push_immediately	Push immediately	Надіслати одразу	Отправить сразу	Enviar inmediatamente	Push immediato	Sofort pushen	즉시 푸시	Direct pushen	Pousser immédiatement	Enviar imediatamente	立即推送	立即推送	Wypchnij natychmiast	Odeslat ihned
la_push	Push	Надіслати	Отправить	Enviar	Push	Push	푸시	Push	Pousser	Enviar	推送	推送	Wypchnij	Odeslat
la_pull	Pull	Отримати	Получить	Obtener	Pull	Pull	풀	Pull	Tirer	Puxar	拉取	拉取	Pobierz	Stáhnout
la_fetch	Fetch	Завантажити	Загрузить	Obtener	Fetch	Fetch	가져오기	Fetch	Récupérer	Buscar	擷取	获取	Pobierz	Načíst
la_branch	Branch	Гілка	Ветка	Rama	Ramo	Branch	브랜치	Branch	Branche	Branch	分支	分支	Gałąź	Větev
la_merge	Merge	Об'єднати	Объединить	Fusionar	Merge	Merge	병합	Merge	Fusionner	Mesclar	合併	合并	Scal	Sloučit
la_stash	Stash	Сховати	Спрятать	Guardar	Stash	Stash	보관	Stash	Remiser	Guardar	暫存	暂存	Schowaj	Uložit
la_discard	Discard	Скасувати	Отменить	Descartar	Annulla	Verwerfen	취소	Negeren	Annuler	Descartar	捨棄	放弃	Odrzuć	Zahodit
la_refresh	Refresh	Оновити	Обновить	Actualizar	Aggiorna	Aktualisieren	새로고침	Vernieuwen	Actualiser	Atualizar	重新整理	刷新	Odśwież	Obnovit
la_settings	Settings	Налаштування	Настройки	Configuración	Impostazioni	Einstellungen	설정	Instellingen	Paramètres	Configurações	設定	设置	Ustawienia	Nastavení
la_cancel	Cancel	Скасувати	Отмена	Cancelar	Annulla	Abbrechen	취소	Annuleren	Annuler	Cancelar	取消	取消	Anuluj	Zrušit
la_apply	Apply	Застосувати	Применить	Aplicar	Applica	Anwenden	적용	Toepassen	Appliquer	Aplicar	套用	应用	Zastosuj	Použít
la_ok	OK	OK	OK	OK	OK	OK	확인	OK	OK	OK	確定	确定	OK	OK
la_close	Close	Закрити	Закрыть	Cerrar	Chiudi	Schließen	닫기	Sluiten	Fermer	Fechar	關閉	关闭	Zamknij	Zavřít
la_general	General	Загальне	Общие	General	Generale	Allgemein	일반	Algemeen	Général	Geral	一般	常规	Ogólne	Obecné
la_git	Git	Git	Git	Git	Git	Git	Git	Git	Git	Git	Git	Git	Git	Git
la_theme	Theme	Тема	Тема	Tema	Tema	Theme	테마	Thema	Thème	Tema	主題	主题	Motyw	Motiv
la_authentication	Authentication	Автентифікація	Аутентификация	Autenticación	Autenticazione	Authentifizierung	인증	Authenticatie	Authentification	Autenticação	驗證	认证	Uwierzytelnianie	Ověření
la_user_info	User Information	Інформація про користувача	Информация о пользователе	Información del usuario	Informazioni utente	Benutzerinformationen	사용자 정보	Gebruikersinformatie	Informations utilisateur	Informações do usuário	使用者資訊	用户信息	Informacje o użytkowniku	Informace o uživateli
la_full_name	Full Name	Повне ім'я	Полное имя	Nombre completo	Nome completo	Vollständiger Name	성명	Volledige naam	Nom complet	Nome completo	全名	全名	Pełne imię	Celé jméno
la_email	Email	Електронна пошта	Электронная почта	Correo electrónico	Email	E-Mail	이메일	E-mail	E-mail	Email	電子郵件	电子邮件	E-mail	E-mail
la_project_settings	Project Settings	Налаштування проєкту	Настройки проекта	Configuración del proyecto	Impostazioni progetto	Projekteinstellungen	프로젝트 설정	Projectinstellingen	Paramètres du projet	Configurações do projeto	專案設定	项目设置	Ustawienia projektu	Nastavení projektu
la_default_folder	Default folder	Типова папка	Папка по умолчанию	Carpeta predeterminada	Cartella predefinita	Standardordner	기본 폴더	Standaardmap	Dossier par défaut	Pasta padrão	預設資料夾	默认文件夹	Domyślny folder	Výchozí složka
la_behavior	Behavior	Поведінка	Поведение	Comportamiento	Comportamento	Verhalten	동작	Gedrag	Comportement	Comportamento	行為	行为	Zachowanie	Chování
la_auto_refresh	Auto-refresh when files change	Автооновлення при зміні файлів	Автообновление при изменении файлов	Actualizar automáticamente cuando cambien los archivos	Aggiornamento automatico quando i file cambiano	Automatisch aktualisieren bei Dateiänderungen	파일 변경 시 자동 새로고침	Automatisch vernieuwen bij bestandswijzigingen	Actualisation automatique lors des modifications	Atualização automática quando os arquivos mudam	檔案變更時自動重新整理	文件更改时自动刷新	Automatyczne odświeżanie przy zmianie plików	Automatická aktualizace při změně souborů
la_refresh_on_focus	Refresh on window focus	Оновлення при фокусі вікна	Обновление при фокусе окна	Actualizar al enfocar la ventana	Aggiorna al focus della finestra	Bei Fensterfokus aktualisieren	창 포커스 시 새로고침	Vernieuwen bij vensterfocus	Actualiser lors du focus	Atualizar ao focar janela	視窗取得焦點時重新整理	窗口获得焦点时刷新	Odśwież przy fokusie okna	Obnovit při zaměření okna
